Oc,media_erro,var_erro,desvio_padrao_erro
0,-43.39569768931226,1.4577120934878733,1.207357483717177
10,-12.745464628394348,120.49993724382071,10.977246341584063
20,-12.275639135261597,219.6052436068171,14.81908376407992
30,-11.750157953229895,313.5553747410247,17.70749487479877
40,-11.465509816897221,406.9294701633093,20.172492908991426
50,-11.853864572740452,499.24377373996737,22.34376364312797
60,-11.770872493082123,592.4130552126587,24.339536873421785
70,-12.241251966302329,685.0851097224897,26.174130543773362
80,-12.111580657953523,774.9784952932874,27.83843557553634
90,-13.15448851147351,860.783111099425,29.339105492489455
100,-13.892510313222699,947.7672800342369,30.78582920816389
