Oc,media_erro,var_erro,desvio_padrao_erro
0,-43.31916890448507,1.4576865567974937,1.2073469082237689
10,-13.82542837569608,118.46383220255211,10.884109159805046
20,-13.897324460697106,214.93998704809,14.660831731115735
30,-14.108992015913044,306.5666595393936,17.50904507788456
40,-14.737898454408413,397.8413279701155,19.945960191730943
50,-15.311148532654014,488.88131867598526,22.11066074715962
60,-15.822191232014136,579.8623425360554,24.080331030450047
70,-16.6567964890115,671.2802836658731,25.909077244585017
80,-17.51219191033752,759.8795858376294,27.565913477293464
90,-18.687521472570616,845.8974406441517,29.08431605941855
100,-19.379300531565196,933.3306063156236,30.55046000170249
