Oc,media_erro,var_erro,desvio_padrao_erro
0,-43.49756257407571,1.4577147018296484,1.2073585639028899
10,-13.126195501783316,117.7435527170315,10.85097012792089
20,-12.930189160960726,213.22194937668883,14.602121399875047
30,-12.550977756720366,304.2947467892151,17.44404617023284
40,-12.45586072389577,394.81329190436276,19.86990920725011
50,-13.172882009865306,484.3090647678434,22.007023078277612
60,-13.552410859129584,575.2112649257009,23.98356239022262
70,-13.968100234610908,666.4885657902873,25.81643983569941
80,-13.952829012701812,754.6084734277678,27.470137848721613
90,-15.035000302007889,839.8464134228756,28.980103751071624
100,-15.356517074332599,926.6515825360707,30.440952392066688
