Oc,media_erro,var_erro,desvio_padrao_erro
0,-43.35734774790435,1.4577152520518541,1.2073587917648398
10,-14.792370012407067,126.10273511127264,11.22954741346563
20,-15.262501495026747,231.95998815678803,15.230232701990737
30,-15.743842028549635,331.6128753710163,18.210240947637576
40,-16.548305568316877,429.59044190408935,20.72656367814234
50,-17.73650463150307,526.7269773977807,22.950533270444517
60,-18.790400373310835,623.3840755463751,24.96766059418413
70,-20.070091983727213,718.9341435008926,26.81294731097073
80,-20.719057962262298,811.2970843543154,28.483277275522834
90,-22.82712044431798,898.0262789691194,29.967086594614422
100,-24.624127177655073,985.6395400599649,31.394896720007935
