Oc,media_erro,var_erro,desvio_padrao_erro
0,-43.235680139146766,1.45773721328438,1.2073678864722135
10,-11.912275732160204,141.8461535882825,11.90991828638142
20,-11.029657386411605,264.81750943767724,16.2732144777139
30,-10.21148719851535,379.31092371339207,19.47590623599816
40,-9.548161680291868,489.65252897266697,22.128093658800953
50,-9.504817544009128,597.639339176414,24.44666315014002
60,-9.161376083616817,703.2403251506297,26.518678797229505
70,-8.693536641773733,804.8983636599858,28.370730756538254
80,-8.400050805040813,903.1512358532729,30.052474704311336
90,-9.05443765678137,992.0570012187657,31.496936378301392
100,-9.511786999659074,1081.269836727526,32.88266772522457
