n_ocupacao,media_EME,var_EME,DP_EME
0,0.0017135925441437222,0.00023066029250064913,0.015187504485617415
10,0.09344430845469978,0.0001309754678715142,0.011444451401072671
20,0.30598755307678754,0.0010710395629275477,0.03272674079292876
30,0.3943953566663997,0.0017781674623764737,0.04216832297325178
40,0.30424771117880633,0.0012333796434646287,0.03511950517112433
50,0.14618259332901776,0.0006576307126919847,0.025644311507466617
60,0.0173703263139048,0.000719880469747394,0.026830588322796688
70,-0.36494880976710203,0.00221228692812827,0.04703495432259151
80,-0.6844106206296605,0.005625027112937201,0.07500018075269686
90,-1.2120925991571048,0.01579500780847172,0.1256781914592652
100,-1.5713858594041041,0.02616334808165463,0.1617508827847769
