n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.9537644191500558,0.009093656263882595,0.09536066413297778
10,6.536175926849371,0.43463262562434185,0.6592667332911178
20,8.947012056444382,0.8161634496981208,0.9034176496494414
30,11.094726151640259,1.2493613299959183,1.117748330348079
40,13.048655108995261,1.7174457274297972,1.3105135357674857
50,14.808266550176429,2.211499389295298,1.4871110884178418
60,16.460163606797583,2.7142137086357634,1.6474870890649684
70,17.99093234037242,3.258642412690384,1.8051710203441624
80,19.41597793403745,3.7801022919936504,1.9442485160065446
90,20.72069177136279,4.292891199436874,2.0719293422886973
100,21.979510155829157,4.832322328475307,2.1982543821121583
