n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,12.297230964180104,0.05980673345856551,0.24455415240507677
20,12.752086056689492,0.02543627192978856,0.15948752907292957
30,12.93643761780832,0.030825657840307517,0.17557237208714677
40,13.059364902877551,0.015684441379010924,0.12523753981538813
50,13.132480372543524,0.010834539531066407,0.10408909419851058
60,13.186576982233564,0.011003735997041776,0.10489869397204989
70,13.25806297754509,0.06983000355309464,0.2642536727334071
80,13.281489549305592,0.01922575668295674,0.13865697488030215
90,13.298938783536407,0.018366328211603528,0.1355224269691313
100,13.347902365278168,0.015476832826296147,0.12440591957899812
