n_ocupacao,media_DP,var_DP,DP_DP
0,1.2053352683852376,0.00038288333544767445,0.019567404923690686
10,10.913655873034232,0.4734027724986676,0.6880427112459426
20,14.529096223898208,0.17690121913072585,0.420596266187333
30,17.413931050566443,0.15427384058015217,0.39277708764660924
40,19.88501954176693,0.10469593840701252,0.3235675175400221
50,22.009474985621296,0.15233996202369948,0.39030752237652233
60,24.027326195946276,0.21739239982238406,0.46625357888426344
70,25.726974408093735,0.580598412768052,0.761970086530995
80,27.418925140563516,0.23618187284647194,0.4859854656741001
90,28.98686773001098,0.13702010364167605,0.37016226663677654
100,30.431239442897947,0.1136483976065466,0.33711778002138454
